BOARD Text Code,BOARD Text,BOARD,TYPE Text Code,TYPE Text,TYPE
Allied Health - AH,Allied Health ,AH,Athletic Trainer - AT,Athletic Trainer ,AT
Allied Health - AH,Allied Health ,AH,Occupational Therapist - OT,Occupational Therapist ,OT
Allied Health - AH,Allied Health ,AH,Occupational Therapist Asst - OA,Occupational Therapist Asst ,OA
Allied Health - AH,Allied Health ,AH,Physical Therapist - PT,Physical Therapist ,PT
Allied Health - AH,Allied Health ,AH,Physical Therapist Assistant - PA,Physical Therapist Assistant ,PA
Allied Health - AH,Allied Health ,AH,Physical Therapy Facility - PF,Physical Therapy Facility ,PF
Allied Mental Health - MH,Allied Mental Health ,MH,Applied Behavior Analyst - B1,Applied Behavior Analyst ,B1
Allied Mental Health - MH,Allied Mental Health ,MH,Asst Applied Behavior Analyst - B2,Asst Applied Behavior Analyst ,B2
Allied Mental Health - MH,Allied Mental Health ,MH,Educational Psychologist - ED,Educational Psychologist ,ED
Allied Mental Health - MH,Allied Mental Health ,MH,Marriage and Family Therapist - MF,Marriage and Family Therapist ,MF
Allied Mental Health - MH,Allied Mental Health ,MH,Mental Health Counselor - CC,Mental Health Counselor ,CC
Allied Mental Health - MH,Allied Mental Health ,MH,Rehabilitation Counselor - RT,Rehabilitation Counselor ,RT
Architect - AR,Architect ,AR,Architect - AR,Architect ,AR
Architect - AR,Architect ,AR,Architect - R,Architect ,R
Architect - AR,Architect ,AR,Architect Emeritus - E,Architect Emeritus ,E
Barbers - BR,Barbers ,BR,Apprentice - A,Apprentice ,A
Barbers - BR,Barbers ,BR,Instructor - 1,Instructor ,1
Barbers - BR,Barbers ,BR,Master - M,Master ,M
Barbers - BS,Barbers ,BS,School - 1,School ,1
Barbers - BS,Barbers ,BS,Shop - S,Shop ,S
Chiropractor - CH,Chiropractor ,CH,Chiropractor - CH,Chiropractor ,CH
Chiropractor - CH,Chiropractor ,CH,Chiropractor Facility - CF,Chiropractor Facility ,CF
Cosmetology - HD,Cosmetology ,HD,Jr Instructor - JR,Jr Instructor ,JR
Cosmetology - HD,Cosmetology ,HD,Type 1 - 1,Type 1 ,1
Cosmetology - HD,Cosmetology ,HD,Type 2 - 2,Type 2 ,2
Cosmetology - HD,Cosmetology ,HD,Type 3 - 3,Type 3 ,3
Cosmetology - HD,Cosmetology ,HD,Type 4 - 4,Type 4 ,4
Cosmetology - HD,Cosmetology ,HD,Type 5 - 5,Type 5 ,5
Cosmetology - HD,Cosmetology ,HD,Type 6 - 6,Type 6 ,6
Cosmetology - HD,Cosmetology ,HD,Type 7 - 7,Type 7 ,7
Cosmetology - HD,Cosmetology ,HD,Type 8 - 8,Type 8 ,8
Cosmetology - HS,Cosmetology ,HS,Advanced Training Institute - 11,Advanced Training Institute ,11
Cosmetology - HS,Cosmetology ,HS,Aesthetician School - 10,Aesthetician School ,10
Cosmetology - HS,Cosmetology ,HS,Manicuring School - 12,Manicuring School ,12
Cosmetology - HS,Cosmetology ,HS,School - 9,School ,9
Cosmetology - HS,Cosmetology ,HS,Shop - 1,Shop ,1
Cosmetology - HS,Cosmetology ,HS,Shop - 2,Shop ,2
Cosmetology - HS,Cosmetology ,HS,Shop - 3,Shop ,3
Cosmetology - HS,Cosmetology ,HS,Shop - 4,Shop ,4
Cosmetology - HS,Cosmetology ,HS,Shop - 5,Shop ,5
Dietitians and Nutritionists - NU,Dietitians and Nutritionists ,NU,Dietitians and Nutritionists - NU,Dietitians and Nutritionists ,NU
Dispensing Opticians - DO,Dispensing Opticians ,DO,Dispensing Optician - DO,Dispensing Optician ,DO
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - D1,Drinking Water Operator ,D1
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - D2,Drinking Water Operator ,D2
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - D3,Drinking Water Operator ,D3
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - D4,Drinking Water Operator ,D4
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - DA,Drinking Water Operator ,DA
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - DB,Drinking Water Operator ,DB
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - DC,Drinking Water Operator ,DC
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - DD,Drinking Water Operator ,DD
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - N1,Drinking Water Operator ,N1
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - NA,Drinking Water Operator ,NA
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - T1,Drinking Water Operator ,T1
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - T2,Drinking Water Operator ,T2
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - T3,Drinking Water Operator ,T3
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - T4,Drinking Water Operator ,T4
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - TA,Drinking Water Operator ,TA
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - TB,Drinking Water Operator ,TB
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - TC,Drinking Water Operator ,TC
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - TD,Drinking Water Operator ,TD
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - VS,Drinking Water Operator ,VS
Drinking Water - DW,Drinking Water ,DW,Drinking Water Operator - VT,Drinking Water Operator ,VT
Drinking Water - DW,Drinking Water ,DW,Dual Certification Operator - C1,Dual Certification Operator ,C1
Drinking Water - DW,Drinking Water ,DW,Dual Certification Operator - C2,Dual Certification Operator ,C2
Drinking Water - DW,Drinking Water ,DW,Dual Certification Operator - C3,Dual Certification Operator ,C3
Drinking Water - DW,Drinking Water ,DW,Dual Certification Operator - C4,Dual Certification Operator ,C4
Electricians - EL,Electricians ,EL,Journeyman Electrician - B,Journeyman Electrician ,B
Electricians - EL,Electricians ,EL,Journeyman Electrician - E,Journeyman Electrician ,E
Electricians - EL,Electricians ,EL,Journeyman Electrician - EE,Journeyman Electrician ,EE
Electricians - EL,Electricians ,EL,Journeyman Electrician - JR,Journeyman Electrician ,JR
Electricians - EL,Electricians ,EL,Journeyman Electrician - RE,Journeyman Electrician ,RE
Electricians - EL,Electricians ,EL,Master Electrician - A,Master Electrician ,A
Electricians - EL,Electricians ,EL,Master Electrician - AA,Master Electrician ,AA
Electricians - EL,Electricians ,EL,Master Electrician - MR,Master Electrician ,MR
Electricians - EL,Electricians ,EL,Master Electrician - RA,Master Electrician ,RA
Electricians - FA,Electricians ,FA,Fire Alarm Systems Contractor - C,Fire Alarm Systems Contractor ,C
Electricians - FA,Electricians ,FA,Fire Alarm Systems Technician - D,Fire Alarm Systems Technician ,D
Electrology - ET,Electrology ,ET,Electrologist - 1,Electrologist ,1
Electrology - ET,Electrology ,ET,Electrology Instructor - 3,Electrology Instructor ,3
Electrology - ET,Electrology ,ET,Electrology School - 4,Electrology School ,4
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Engineer In Training - EI,Engineer In Training ,EI
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Land Surveyor in Training - SI,Land Surveyor in Training ,SI
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - A,Professional Engineer ,A
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AA,Professional Engineer ,AA
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AE,Professional Engineer ,AE
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AG,Professional Engineer ,AG
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AM,Professional Engineer ,AM
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AR,Professional Engineer ,AR
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AS,Professional Engineer ,AS
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - AT,Professional Engineer ,AT
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - C,Professional Engineer ,C
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - CE,Professional Engineer ,CE
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - CH,Professional Engineer ,CH
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - CO,Professional Engineer ,CO
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - CR,Professional Engineer ,CR
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - CS,Professional Engineer ,CS
Engineers and Land Surveyors - EN,Engineers and Land Surveyors ,EN,Professional Engineer - E,Professional Engineer ,E
